,MOLECULE_CHEMBL_ID,MOLECULE_NAME,MOLECULE_TYPE,FIRST_APPROVAL,ATC_CODE,ATC_CODE_DESCRIPTION,USAN_STEM,MECHANISM_OF_ACTION,MECHANISM_COMMENT,SELECTIVITY_COMMENT,TARGET_CHEMBL_ID,TARGET_NAME,ACTION_TYPE,ORGANISM,TARGET_TYPE,SITE_NAME,BINDING_SITE_COMMENT,MECHANISM_REFS,CANONICAL_SMILES,chembl,hgnc_symbol
10,CHEMBL715,Olanzapine,Small molecule,1996.0,N05AH03,"N05AH03 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Diazepines, oxazepines, thiazepines and oxepines]",-pin(e),Serotonin 2a (5-HT2a) receptor antagonist,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,ANTAGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=4464f13c-b9b9-4464-a05e-5b2cdc091fb2#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4464f13c-b9b9-4464-a05e-5b2cdc091fb2#nlm34090-1|Name:FDA, SrcID:label/2015/020592s064,021086s042,021253s049lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020592s064,021086s042,021253s049lbl.pdf|Name:FDA, SrcID:label/2012/022173s008s010s014lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022173s008s010s014lbl.pdf",CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,CHEMBL224,HTR2A
11,CHEMBL1201342,Methixene,Small molecule,1982.0,N04AA03,N04AA03 [NERVOUS SYSTEM: ANTI-PARKINSON DRUGS: ANTICHOLINERGIC AGENTS: Tertiary amines],,Serotonin 2c (5-HT2c) receptor antagonist,,,CHEMBL225,Serotonin 2c (5-HT2c) receptor,ANTAGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:ISBN, SrcID:9780702034718 PP. 153, 162, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:3353357, URL:http://europepmc.org/abstract/MED/3353357",CN1CCCC(CC2c3ccccc3Sc4ccccc24)C1,,
12,CHEMBL1005,Remifentanil,Small molecule,1996.0,N01AH06,"N01AH06 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, GENERAL: Opioid anesthetics]",-fentanil,Mu opioid receptor agonist,,,CHEMBL233,Mu opioid receptor,AGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313#nlm34090-1",CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC)CC2)C(=O)OC,CHEMBL233,OPRM1
13,CHEMBL181,Diazoxide,Small molecule,1973.0,C02DA01; V03AH01,"C02DA01 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON: Thiazide derivatives]; V03AH01 [VARIOUS: ALL OTHER THERAPEUTIC PRODUCTS: ALL OTHER THERAPEUTIC PRODUCTS: Drugs for treatment of hypoglycemia]",,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener",,,CHEMBL4770,"Potassium channel, inwardly rectifying, subfamily J, member 8",OPENER,Homo sapiens,SINGLE PROTEIN,,,"Name:Wikipedia, SrcID:Diazoxide, URL:http://en.wikipedia.org/wiki/Diazoxide|Name:DailyMed, SrcID:setid=b16c7832-2fd9-49af-b923-1dc0d91fd6e2#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b16c7832-2fd9-49af-b923-1dc0d91fd6e2#nlm34090-1|Name:ISBN, SrcID:0443-059748 PP. 288, 394, URL:http://www.isbnsearch.org/isbn/0443059748",CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,CHEMBL4770,KCNJ8
14,CHEMBL1433,Doxycycline,Small molecule,1967.0,J01AA02; A01AB22,J01AA02 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: TETRACYCLINES: Tetracyclines]; A01AB22 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment],-cycline,Matrix metalloproteinase-1 inhibitor,"It is an antibiotic, however, its primary action, due to the concentration reached in the human body is via metalloproteinases inhibition, which is beneficial in many pathological conditions in which MMP-mediated proteolysis of the extracellular matrix (ECM) contributes to the pathogenesis, such as heart remodeling, tumor invasion, and inflammation",,CHEMBL332,Matrix metalloproteinase-1,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=3105a84b-655e-4940-9d11-4209cdb05d6b, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3105a84b-655e-4940-9d11-4209cdb05d6b|Name:PubMed, SrcID:20370419, URL:http://europepmc.org/abstract/MED/20370419|Name:PubMed, SrcID:20592239, URL:http://europepmc.org/abstract/MED/20592239|Name:PubMed, SrcID:17199549, URL:http://europepmc.org/abstract/MED/17199549",C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,CHEMBL332,MMP1
15,CHEMBL1946170,Regorafenib,Small molecule,2012.0,L01XE21,L01XE21 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],-rafenib,Tyrosine-protein kinase TIE-2 inhibitor,,,CHEMBL4128,Tyrosine-protein kinase TIE-2,INHIBITOR,Homo sapiens,SINGLE PROTEIN,,,"Name:Expert, SrcID:REGORAFENIB, URL:http://chembl.blogspot.co.uk/search?q=REGORAFENIB",CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1,CHEMBL4128,TEK
16,CHEMBL193240,Roflumilast,Small molecule,2011.0,R03DX07,R03DX07 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: Other systemic drugs for obstructive airway diseases],-ast,Phosphodiesterase 4 inhibitor,,Selective,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=95519b97-d0a6-4c9f-baf0-bc5da08296c7#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=95519b97-d0a6-4c9f-baf0-bc5da08296c7#nlm34090-1|Name:PubMed, SrcID:22735051, URL:http://europepmc.org/abstract/MED/22735051",FC(F)Oc1ccc(cc1OCC2CC2)C(=O)Nc3c(Cl)cncc3Cl,,
17,CHEMBL654,Mirtazapine,Small molecule,1996.0,N06AX11,N06AX11 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],-pin(e),Adrenergic receptor alpha-2 antagonist,,,CHEMBL2095158,Adrenergic receptor alpha-2,ANTAGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=f23631be-c7ae-46e9-b771-a70be17bc9f0#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f23631be-c7ae-46e9-b771-a70be17bc9f0#nlm34090-1",CN1CCN2C(C1)c3ccccc3Cc4cccnc24,,
18,CHEMBL677,Levonordefrin,Small molecule,1960.0,,,,Adrenergic receptor alpha-2 agonist,,,CHEMBL2095158,Adrenergic receptor alpha-2,AGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:ISBN, SrcID:0443-059748 PP. 156, URL:http://www.isbnsearch.org/isbn/0443059748|Name:Wikipedia, SrcID:Levonordefrin, URL:http://en.wikipedia.org/wiki/Levonordefrin",C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,,
19,CHEMBL1169,Aminosalicylic Acid,Small molecule,1950.0,J04AA01,J04AA01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF TUBERCULOSIS: Aminosalicylic acid and derivatives],-sal-,Cyclooxygenase inhibitor,,,CHEMBL2094253,Cyclooxygenase,INHIBITOR,Homo sapiens,PROTEIN FAMILY,,,"Name:PubMed, SrcID:12208114, URL:http://europepmc.org/abstract/MED/12208114",Nc1ccc(C(=O)O)c(O)c1,,
20,CHEMBL425,Olsalazine,Small molecule,1990.0,A07EC03,"A07EC03 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFLAMMATORY AGENTS: Aminosalicylic acid and similar agents]",-sal-,Cyclooxygenase inhibitor,,,CHEMBL2094253,Cyclooxygenase,INHIBITOR,Homo sapiens,PROTEIN FAMILY,,,"Name:PubMed, SrcID:12950415, URL:http://europepmc.org/abstract/MED/12950415|Name:DailyMed, SrcID:setid=75a96561-6f52-4c11-a105-391fbbfe4827, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=75a96561-6f52-4c11-a105-391fbbfe4827|Name:PubMed, SrcID:14742690, URL:http://europepmc.org/abstract/MED/14742690|Name:PubMed, SrcID:12463455, URL:http://europepmc.org/abstract/MED/12463455",OC(=O)c1cc(ccc1O)N=Nc2ccc(O)c(c2)C(=O)O,,
21,CHEMBL1237132,Clevidipine,Small molecule,2008.0,C08CA16,C08CA16 [CARDIOVASCULAR SYSTEM: CALCIUM CHANNEL BLOCKERS: SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS: Dihydropyridine derivatives],-dipine,Voltage-gated L-type calcium channel blocker,,,CHEMBL2095229,Voltage-gated L-type calcium channel,BLOCKER,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=095081a0-1398-11dc-82e1-0002a5d5c51b#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=095081a0-1398-11dc-82e1-0002a5d5c51b#nlm34090-1",CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,,
22,CHEMBL6966,Verapamil,Small molecule,1981.0,C08DA51; C08DA01,C08DA51 [CARDIOVASCULAR SYSTEM: CALCIUM CHANNEL BLOCKERS: SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS: Phenylalkylamine derivatives]; C08DA01 [CARDIOVASCULAR SYSTEM: CALCIUM CHANNEL BLOCKERS: SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS: Phenylalkylamine derivatives],-pamil,Voltage-gated L-type calcium channel blocker,,,CHEMBL2095229,Voltage-gated L-type calcium channel,BLOCKER,Homo sapiens,PROTEIN FAMILY,,,"Name:FDA, SrcID:label/2011/018817s027lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/018817s027lbl.pdf|Name:ISBN, SrcID:9780702034718 PP. 256, URL:http://www.isbnsearch.org/isbn/9780702034718",COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,,
23,CHEMBL500,Pindolol,Small molecule,1982.0,C07AA03,"C07AA03 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, non-selective]",-olol,Beta-2 adrenergic receptor partial agonist,,,CHEMBL210,Beta-2 adrenergic receptor,PARTIAL AGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=07fe9cc3-1ef2-420c-b45d-7f1e894b6ef9, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=07fe9cc3-1ef2-420c-b45d-7f1e894b6ef9",CC(C)NCC(O)COc1cccc2[nH]ccc12,CHEMBL210,ADRB2
24,CHEMBL1483,Albendazole,Small molecule,1996.0,P02CA03,"P02CA03 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTHELMINTICS: ANTINEMATODAL AGENTS: Benzimidazole derivatives]",-bendazole,Tubulin inhibitor,,,CHEMBL2364704,Tubulin,INHIBITOR,Taeniidae,PROTEIN COMPLEX GROUP,Beta tubulin,Binds to beta tubulin,"Name:DailyMed, SrcID:setid=e8941166-b77d-45aa-a6e8-04f1c0afd845, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e8941166-b77d-45aa-a6e8-04f1c0afd845|Name:ISBN, SrcID:9780702034718 PP. 669, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:13678839, URL:http://europepmc.org/abstract/MED/13678839",CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,,
25,CHEMBL1200438,Tioconazole,Small molecule,1983.0,G01AF08; D01AC07,"G01AF08 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Imidazole derivatives]; D01AC07 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Imidazole and triazole derivatives]",-conazole,Cytochrome P450 51 inhibitor,,,CHEMBL1780,Cytochrome P450 51,INHIBITOR,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),SINGLE PROTEIN,,,"Name:PubMed, SrcID:15314102, URL:http://europepmc.org/abstract/MED/15314102|Name:PubMed, SrcID:15625110, URL:http://europepmc.org/abstract/MED/15625110|Name:PubMed, SrcID:19934256, URL:http://europepmc.org/abstract/MED/19934256|Name:PubMed, SrcID:3202901, URL:http://europepmc.org/abstract/MED/3202901",Clc1ccc(C(Cn2ccnc2)OCc3ccsc3Cl)c(Cl)c1,,
26,CHEMBL1397,Posaconazole,Small molecule,2006.0,J02AC04,J02AC04 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: ANTIMYCOTICS FOR SYSTEMIC USE: Triazole derivatives],-conazole,Cytochrome P450 51 inhibitor,,,CHEMBL1780,Cytochrome P450 51,INHIBITOR,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),SINGLE PROTEIN,,,"Name:DailyMed, SrcID:setid=b073b082-7b57-4423-8c06-4fd4263d6f84, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b073b082-7b57-4423-8c06-4fd4263d6f84",CC[C@@H]([C@H](C)O)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@@H]5CO[C@](Cn6cncn6)(C5)c7ccc(F)cc7F)cc4,,
27,CHEMBL1346,Darifenacin,Small molecule,2004.0,G04BD10,G04BD10 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: UROLOGICALS: Drugs for urinary frequency and incontinence],-fenacin,Muscarinic acetylcholine receptor M2 antagonist,"Indicated for overactive bladder, M2 likely responsible",,CHEMBL211,Muscarinic acetylcholine receptor M2,ANTAGONIST,Homo sapiens,SINGLE PROTEIN,,,"Name:PubMed, SrcID:16465186, URL:http://europepmc.org/abstract/MED/16465186|Name:DailyMed, SrcID:setid=cec47488-ebad-4a3a-904c-e916b432e2cf, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cec47488-ebad-4a3a-904c-e916b432e2cf",NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,CHEMBL211,CHRM2
28,CHEMBL1308,Fomepizole,Small molecule,1997.0,V03AB34,V03AB34 [VARIOUS: ALL OTHER THERAPEUTIC PRODUCTS: ALL OTHER THERAPEUTIC PRODUCTS: Antidotes],,Alcohol dehydrogenase class I inhibitor,Competitive inhibitor,,CHEMBL2363044,Alcohol dehydrogenase class I,INHIBITOR,Homo sapiens,PROTEIN COMPLEX GROUP,,,"Name:DailyMed, SrcID:setid=c045b5a8-b220-4f0a-a831-155b29c19454#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c045b5a8-b220-4f0a-a831-155b29c19454#nlm34090-1|Name:Wikipedia, SrcID:Alcohol_dehydrogenase, URL:http://en.wikipedia.org/wiki/Alcohol_dehydrogenase",Cc1cn[nH]c1,,
29,CHEMBL550348,Deferasirox,Small molecule,2005.0,V03AC03,V03AC03 [VARIOUS: ALL OTHER THERAPEUTIC PRODUCTS: ALL OTHER THERAPEUTIC PRODUCTS: Iron chelating agents],,Iron chelating agent,,Selective,CHEMBL2363058,Iron,CHELATING AGENT,,METAL,,,"Name:DailyMed, SrcID:setid=3495a70c-870c-4968-940e-8baea152cf85#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3495a70c-870c-4968-940e-8baea152cf85#nlm34090-1",OC(=O)c1ccc(cc1)n2nc(nc2c3ccccc3O)c4ccccc4O,,
30,CHEMBL1023,Bexarotene,Small molecule,1999.0,L01XX25,L01XX25 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Other antineoplastic agents],-arotene,Retinoid X receptor agonist,,,CHEMBL2363070,Retinoid X receptor,AGONIST,Homo sapiens,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=63656f64-e240-4855-8df9-ca1655863735, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=63656f64-e240-4855-8df9-ca1655863735|Name:FDA, SrcID:label/2015/021055s010lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021055s010lbl.pdf",Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,,
31,CHEMBL1200910,Sulfisoxazole Acetyl,Small molecule,1953.0,,,,Bacterial dihydropteroate synthase inhibitor,,Broad spectrum,CHEMBL2364668,Bacterial dihydropteroate synthase,INHIBITOR,Bacteria,SINGLE PROTEIN,,,"Name:PubMed, SrcID:15673729, URL:http://europepmc.org/abstract/MED/15673729|Name:PubMed, SrcID:7486915, URL:http://europepmc.org/abstract/MED/7486915|Name:PubMed, SrcID:16000430, URL:http://europepmc.org/abstract/MED/16000430",CC(=O)N(c1onc(C)c1C)S(=O)(=O)c2ccc(N)cc2,,
32,CHEMBL148,Imipenem,Small molecule,1985.0,,,-penem,Bacterial penicillin-binding protein inhibitor,,,CHEMBL2354204,Bacterial penicillin-binding protein,INHIBITOR,Bacteria,PROTEIN FAMILY,,,"Name:DailyMed, SrcID:setid=fe44d24d-55cd-439c-895b-00a38cd59f65, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fe44d24d-55cd-439c-895b-00a38cd59f65",C[C@@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC=N,,
